day_of_week,pickup_hour,trip_count
1,0,1052199
1,1,949484
1,2,771817
1,3,610112
1,4,397271
1,5,183471
1,6,194751
1,7,261730
1,8,387121
1,9,571835
1,10,770147
1,11,886855
1,12,952337
1,13,947461
1,14,951223
1,15,916953
1,16,889531
1,17,931235
1,18,971465
1,19,890415
1,20,806932
1,21,778378
1,22,711046
1,23,570254
2,0,390786
2,1,238697
2,2,154161
2,3,110193
2,4,125712
2,5,196933
2,6,475064
2,7,768147
2,8,902368
2,9,861646
2,10,780453
2,11,785020
2,12,822128
2,13,835828
2,14,904415
2,15,902330
2,16,834949
2,17,979014
2,18,1127416
2,19,1083875
2,20,1017165
2,21,974105
2,22,858490
2,23,638708
3,0,415700
3,1,238193
3,2,147533
3,3,99122
3,4,106236
3,5,195334
3,6,523083
3,7,885521
3,8,1039683
3,9,969505
3,10,869055
3,11,863104
3,12,893107
3,13,893580
3,14,954286
3,15,923906
3,16,812390
3,17,976441
3,18,1180140
3,19,1175468
3,20,1145182
3,21,1142111
3,22,1029460
3,23,773817
4,0,494518
4,1,291796
4,2,180008
4,3,120503
4,4,119344
4,5,196923
4,6,520043
4,7,897194
4,8,1052237
4,9,977778
4,10,882222
4,11,891516
4,12,932236
4,13,926232
4,14,966265
4,15,918209
4,16,795890
4,17,974406
4,18,1180482
4,19,1218724
4,20,1189597
4,21,1197075
4,22,1106602
4,23,880359
5,0,575162
5,1,342628
5,2,215455
5,3,141936
5,4,134273
5,5,204983
5,6,531978
5,7,910654
5,8,1056959
5,9,986672
5,10,894441
5,11,897258
5,12,940201
5,13,939464
5,14,1002796
5,15,934540
5,16,793525
5,17,973572
5,18,1192139
5,19,1240798
5,20,1226223
5,21,1237687
5,22,1178778
5,23,1038216
6,0,808840
6,1,537269
6,2,359883
6,3,245295
6,4,204945
6,5,231392
6,6,515732
6,7,855626
6,8,1015665
6,9,962658
6,10,883185
6,11,901333
6,12,943616
6,13,936814
6,14,1008137
6,15,939234
6,16,823736
6,17,1011975
6,18,1211641
6,19,1267702
6,20,1153948
6,21,1133476
6,22,1183524
6,23,1159420
7,0,1063647
7,1,912086
7,2,747331
7,3,560799
7,4,363353
7,5,183739
7,6,239864
7,7,344621
7,8,511403
7,9,711829
7,10,843827
7,11,939072
7,12,1014276
7,13,1029051
7,14,990188
7,15,995056
7,16,918559
7,17,1016383
7,18,1136643
7,19,1170460
7,20,1015898
7,21,1012158
7,22,1104761
7,23,1137664